"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9600","should add a single product from Electronics > cell phones","chromium-auth","2026-07-04","passed","2026-07-04","Add products - single and multiple","tests\Product.spec.ts","",""
"","4479","Login with empty fields","chromium-auth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
"","7455","Login with valid credentials","chromium-auth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
"","14794","should verify cart item quantities, estimate shipping, and proceed to checkout","chromium-auth","2026-07-04","failed","2026-07-04","Shopping Cart Verification","tests\Cart.spec.ts","",""
"","3989","Login with invalid credentials","chromium-unauth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
"","9528","should add a single product from Electronics > cell phones","chromium-unauth","2026-07-04","passed","2026-07-04","Add products - single and multiple","tests\Product.spec.ts","",""
"","6962","Register with valid data","chromium-unauth","2026-07-04","passed","2026-07-04","Register Page","tests\Register.spec.ts","",""
"","9204","should add multiple product from Computers","chromium-unauth","2026-07-04","passed","2026-07-04","Add products - single and multiple","tests\Product.spec.ts","",""
"","4393","Login with invalid password","chromium-unauth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
"","4507","should allow user to register successfully","chromium-auth","2026-07-04","passed","2026-07-04","Register Page","tests\Register.spec.ts","",""
"","5387","Login with empty fields","chromium-unauth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
"","9410","should add single product from Books and Jewelry","chromium-unauth","2026-07-04","passed","2026-07-04","Add products - single and multiple","tests\Product.spec.ts","",""
"","4473","Login with invalid credentials","chromium-auth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
"","8230","Login with invalid email","chromium-auth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
"","30874","verify successful one-page checkout and logout","chromium-unauth","2026-07-04","broken","2026-07-04","Checkout Verification","tests\Checkout.spec.ts","",""
"","29192","verify successful one-page checkout and logout","chromium-auth","2026-07-04","passed","2026-07-04","Checkout Verification","tests\Checkout.spec.ts","",""
"","18988","should add products spanning categories, mixing single and multiple","chromium-auth","2026-07-04","passed","2026-07-04","Add products - single and multiple","tests\Product.spec.ts","",""
"","9644","should add multiple product from Computers","chromium-auth","2026-07-04","passed","2026-07-04","Add products - single and multiple","tests\Product.spec.ts","",""
"","12164","should add products spanning categories, mixing single and multiple","chromium-unauth","2026-07-04","passed","2026-07-04","Add products - single and multiple","tests\Product.spec.ts","",""
"","30632","should verify cart item quantities, estimate shipping, and proceed to checkout","chromium-unauth","2026-07-04","broken","2026-07-04","Shopping Cart Verification","tests\Cart.spec.ts","",""
"","7411","Register with valid data","chromium-auth","2026-07-04","passed","2026-07-04","Register Page","tests\Register.spec.ts","",""
"","22798","Login with valid credentials","chromium-unauth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
"","9640","should add single product from Books and Jewelry","chromium-auth","2026-07-04","passed","2026-07-04","Add products - single and multiple","tests\Product.spec.ts","",""
"","4766","Login with invalid password","chromium-auth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
"","5213","should allow user to register successfully","chromium-unauth","2026-07-04","passed","2026-07-04","Register Page","tests\Register.spec.ts","",""
"","5970","Authenticated User Setup","setup","2026-07-04","passed","2026-07-04","","auth\auth.setup.ts","",""
"","4719","Login with invalid email","chromium-unauth","2026-07-04","passed","2026-07-04","User Login","tests\Login.spec.ts","",""
